index	RPKM	genome
K2_TE0754315	6.38748	K
K2_TE0754316	6.47153	K
K2_TE0754317	6.55557	K
K2_TE0754318	6.55557	K
K2_TE0754319	6.63962	K
K2_TE0754320	6.63962	K
K2_TE0754321	6.63962	K
K2_TE0754322	6.55557	K
K2_TE0754323	2.68947	K
K2_TE0754325	0.756412	K
K2_TE0754326	0.336183	K
K2_TE0754327	0.252137	K
K2_TE0755038	3.95015	K
K2_TE0755090	6.72367	K
K2_TE0755908	14.9602	K
K2_TE0755909	14.9602	K
K2_TE0755910	14.9602	K
K2_TE0755911	14.9602	K
K2_TE0755912	18.8263	K
K2_TE0755913	17.3975	K
K2_TE0755914	17.2294	K
K2_TE0755948	47.8221	K
K2_TE0755949	45.805	K
K2_TE0755950	0.756412	K
K2_TE0755959	0.336183	K
K2_TE0755960	0.588321	K
K2_TE0755961	0.672367	K
K2_TE0757256	0.168092	K
K2_TE0759111	0.168092	K
K2_TE0760198	0.756412	K
K2_TE0760199	0.336183	K
K2_TE0760217	2.0171	K
K2_TE0760218	0.840458	K
K2_TE0760219	0.840458	K
K2_TE0760220	0.924504	K
K2_TE0760221	1.00855	K
K2_TE0760222	0.924504	K
K2_TE0760223	0.924504	K
K2_TE0760224	0.924504	K
K2_TE0760225	0.924504	K
K2_TE0760226	1.00855	K
K2_TE0760227	0.924504	K
K2_TE0760228	0.840458	K
K2_TE0760229	0.840458	K
K2_TE0760230	0.924504	K
K2_TE0760231	0.924504	K
K2_TE0762364	0.168092	K
K2_TE0763452	0.168092	K
K2_TE0763453	0.168092	K
K2_TE0763455	0.168092	K
K2_TE0763456	0.336183	K
K2_TE0763457	0.168092	K
K2_TE0763470	0.756412	K
K2_TE0763471	2.18519	K
K2_TE0763472	0.756412	K
K2_TE0763473	0.756412	K
K2_TE0763474	0.504275	K
K2_TE0763488	0.168092	K
K2_TE0764200	55.8064	K
K2_TE0764201	56.899	K
K2_TE0764202	70.4304	K
K2_TE0764203	55.5543	K
K2_TE0764204	55.8064	K
K2_TE0764205	46.0571	K
K2_TE0764206	46.1412	K
K2_TE0764207	46.0571	K
K2_TE0767098	4.0342	K
K2_TE0767583	0.420229	K
K2_TE0767590	14.0357	K
K2_TE0767591	13.8676	K
K2_TE0767592	13.8676	K
K2_TE0767594	15.8006	K
K2_TE0767595	13.7835	K
