index	RPKM	type	genome
K2_TE0208612	0.588321	specific	K
K2_TE1847437	0.168092	specific	K
K2_TE1847451	0.168092	specific	K
K2_TE1847452	0.168092	specific	K
K2_TE1853585	0.252137	specific	K
K2_TE1509928	0.420229	specific	K
K2_TE1514113	0.168092	specific	K
K2_TE1514115	0.168092	specific	K
K2_TE1929048	21.936	specific	K
K2_TE1929049	10.2536	specific	K
K2_TE1929110	0.168092	specific	K
K2_TE2052102	0.168092	specific	K
K2_TE1877736	0.168092	specific	K
K2_TE1875631	0.588321	specific	K
K2_TE0714038	1.0926	specific	K
K2_TE1169757	0.252137	specific	K
K2_TE0968728	0.168092	specific	K
K2_TE0968788	1.00855	specific	K
K2_TE0968803	0.504275	specific	K
K2_TE1655416	0.168092	specific	K
K2_TE1655349	0.336183	specific	K
K2_TE1655346	0.504275	specific	K
K2_TE0463357	0.252137	specific	K
K2_TE0463333	0.336183	specific	K
K2_TE0463328	0.420229	specific	K
K2_TE0836657	1264.3	specific	K
K2_TE1872095	0.252137	specific	K
K2_TE2079714	0.168092	specific	K
K2_TE1731603	0.336183	specific	K
K2_TE1731602	0.336183	specific	K
K2_TE1731601	0.336183	specific	K
K2_TE1731600	0.336183	specific	K
K2_TE1731599	0.168092	specific	K
K2_TE1731545	0.924504	specific	K
K2_TE1731544	0.924504	specific	K
K2_TE1731543	0.924504	specific	K
K2_TE1731542	1.00855	specific	K
K2_TE1340863	11.5983	specific	K
K2_TE1340862	11.5983	specific	K
K2_TE1340861	11.5983	specific	K
K2_TE1340860	0.168092	specific	K
K2_TE1340859	0.168092	specific	K
K2_TE1340858	0.168092	specific	K
K2_TE1340857	0.168092	specific	K
K2_TE1340856	0.168092	specific	K
K2_TE1340855	0.168092	specific	K
K2_TE1340854	0.168092	specific	K
K2_TE1340782	0.168092	specific	K
K2_TE1340781	1.34473	specific	K
K2_TE1340780	1.42878	specific	K
K2_TE1340779	1.42878	specific	K
K2_TE1340778	1.51282	specific	K
K2_TE1340777	1.51282	specific	K
K2_TE1340776	1.68092	specific	K
K2_TE1340775	1.59687	specific	K
K2_TE1340774	1.51282	specific	K
K2_TE1340773	1.51282	specific	K
K2_TE1340772	1.0926	specific	K
K2_TE1340771	1.0926	specific	K
K2_TE1340770	1.26069	specific	K
K2_TE1340769	1.26069	specific	K
K2_TE1340447	2.68947	specific	K
K2_TE1340446	2.68947	specific	K
K2_TE1340445	2.9416	specific	K
K2_TE1340385	0.420229	specific	K
K2_TE1340379	4.45443	specific	K
K2_TE1340378	4.11825	specific	K
K2_TE1340258	52.3605	specific	K
K2_TE1340252	5.96725	specific	K
K2_TE1340251	0.252137	specific	K
K2_TE1340250	0.252137	specific	K
K2_TE0053648	0.252137	specific	K
K2_TE0053649	0.252137	specific	K
K2_TE0053650	0.252137	specific	K
K2_TE0053651	4.28634	specific	K
K2_TE0053652	4.11825	specific	K
K2_TE0053653	6.13534	specific	K
K2_TE0053654	6.13534	specific	K
K2_TE0053655	6.13534	specific	K
K2_TE0053656	6.13534	specific	K
