index	FPKM	status	genome
Garb_01G005690.1	1.979458	A	A
Garb_01G005700.1	9.910409	A	A
Garb_01G005710.1	22.228178	A	A
Garb_01G005720.1	7.569426	A	A
Garb_01G005730.1	0.0	A	A
Garb_01G005740.1	0.0	A	A
Garb_01G005750.1	1.329432	A	A
Garb_01G005760.1	13.622523	A	A
Garb_01G005770.1	0.616818	A	A
Garb_01G005780.1	10.958561	A	A
Garb_01G005790.1	1.208665	A	A
Garb_01G005800.1	0.915867	A	A
Garb_01G005810.1	1.451893	A	A
Garb_01G005820.1	27.888134	A	A
Garb_01G005830.1	55.256042	A	A
Garb_01G005840.1	13.477157	A	A
Garb_01G005850.1	4.018020	A	A
Garb_01G005860.1	17.866884	A	A
Garb_01G005870.1	0.043338	A	A
Garb_01G005880.1	0.0	A	A
Garb_01G005890.1	42.507507	A	A
Garb_01G005900.1	0.0	A	A
Garb_01G005910.1	8.541604	A	A
Garb_01G005920.1	0.883938	A	A
Garb_01G005930.1	7.838027	A	A
Garb_01G005940.1	7.477680	A	A
Garb_01G005950.1	1.425057	A	A
Garb_01G005960.1	22.180058	A	A
Garb_01G005970.1	5.655510	A	A
Garb_01G005980.1	0.473307	A	A
Garb_01G005990.1	2.807382	A	A
Garb_01G006000.1	5.584210	A	A
Garb_01G006010.1	1.197284	A	A
Garb_01G006020.1	8.548276	A	A
Garb_01G006030.1	0.040368	A	A
Garb_01G006040.1	0.000000	A	A
Garb_01G006050.1	1.502212	A	A
Garb_01G006060.1	16.169844	A	A
Garb_01G006070.1	12.230052	A	A
Garb_01G006080.1	19.871912	A	A
Garb_01G006090.1	2.272311	A	A
Garb_01G006100.1	0.098718	A	A
Garb_01G006110.1	0.0	A	A
Garb_01G006120.1	0.0	A	A
Garb_01G006130.1	0.0	A	A
Garb_01G006140.1	34.629784	A	A
Garb_01G006150.1	0.539588	A	A
Garb_01G006160.1	0.000000	A	A
Garb_01G006170.1	13.297606	A	A
Garb_01G006180.1	30.561481	A	A
Garb_01G006190.1	7.854689	A	A
Garb_01G006200.1	7.129954	A	A
Garb_01G006210.1	4.836264	A	A
Garb_01G006220.1	1.838820	A	A
Garb_01G006230.1	4.121967	A	A
Garb_01G006240.1	8.808530	A	A
Garb_01G006250.1	0.0	A	A
Garb_01G006260.1	0.0	A	A
Garb_01G006270.1	0.356939	A	A
Garb_01G006280.1	0.0	A	A
Garb_01G006290.1	0.0	A	A
Garb_01G006300.1	5.708926	A	A
Garb_01G006310.1	0.000000	A	A
Garb_01G006320.1	141.183228	A	A
Garb_01G006330.1	68.613976	A	A
Garb_01G006340.1	7.012205	A	A
Garb_01G006350.1	44.923042	A	A
Garb_01G006360.1	96.192902	A	A
Garb_01G006370.1	11.364120	A	A
Garb_01G006380.1	8.477789	A	A
Garb_01G006390.1	21.080486	A	A
Garb_01G006400.1	11.876915	A	A
