line	year	genome
1197	1.52143	D
1198	1.02143	D
1199	4.80714	D
1200	1.02857	D
1201	1.19286	D
1202	1.75714	D
1203	8.69286	D
1204	1.72143	D
1205	4.64286	D
1206	1.91429	D
1207	0.721429	D
1208	3.10714	D
1209	0.607143	D
1210	1.22143	D
1211	2.22857	D
1212	1.1	D
1213	1.14286	D
1214	2.26429	D
1215	3.16429	D
1216	0.5	D
1217	0.792857	D
1218	3.38571	D
1219	2.90714	D
1220	6.85	D
1221	2.73571	D
1222	3.05714	D
1223	1.63571	D
1224	5.40714	D
1225	1.77857	D
1226	1.40714	D
1227	1.34286	D
1228	3.94286	D
1229	3.83571	D
1230	5.55714	D
1231	6.37143	D
1232	5	D
1233	6.02143	D
1234	3.57143	D
1235	2.76429	D
1236	3.37857	D
1237	2.69286	D
1238	5.68571	D
1239	0.521429	D
1240	1.46429	D
1241	1.10714	D
1242	2.55	D
1243	4.02143	D
1244	2.05714	D
1245	2.55	D
1246	0.757143	D
1247	0.871429	D
1248	3.92143	D
1249	0.8	D
1250	0.592857	D
1251	0.721429	D
1252	3.27143	D
1253	0.585714	D
1254	1.00714	D
1255	3.72857	D
1256	4.77857	D
1257	2.95714	D
1258	2.92143	D
1259	3.56429	D
1260	4.49286	D
1261	1.55	D
1262	2.05714	D
1263	4.45714	D
1264	1.54286	D
1265	1.77857	D
1266	0.592857	D
1267	2.05714	D
1268	3.17143	D
1269	4.42143	D
1270	3.91429	D
1271	0.978571	D
1272	1.30714	D
1273	4.50714	D
1274	4.02143	D
1275	0.228571	D
1276	0.921429	D
1277	2.13571	D
1278	1.83571	D
1279	1.10714	D
1280	1.85	D
1281	1.35	D
1282	1.69286	D
1283	0.378571	D
1284	2.80714	D
1285	2.02857	D
1286	0.707143	D
1287	1.68571	D
1288	1.78571	D
1289	1.37143	D
1290	1.95	D
1291	4.79286	D
1292	1.72143	D
1293	2.20714	D
1294	1.48571	D
1295	2.52857	D
1296	2.17857	D
1297	1.76429	D
1298	1.44286	D
1299	3.43571	D
1300	0.235714	D
1301	1.78571	D
1302	1.32143	D
1303	0.457143	D
1304	0.135714	D
1305	0.721429	D
1306	1.32857	D
1307	1.15714	D
1308	0.971429	D
1309	3.82143	D
1310	0.528571	D
1311	1.19286	D
1312	0.428571	D
1313	1.38571	D
1314	1.21429	D
1315	4.82143	D
1316	0.735714	D
1317	2.8	D
1318	1.13571	D
1319	0.4	D
1320	1.12857	D
1321	2.34286	D
1322	1.01429	D
1323	2.67143	D
1324	1.20714	D
1325	2.58571	D
1326	2.55	D
1327	2.10714	D
1328	0.728571	D
1329	1.53571	D
1330	2.33571	D
1331	0.428571	D
1332	0.257143	D
1333	1.81429	D
1334	1.9	D
1335	1.47143	D
1336	0.735714	D
1337	1.15714	D
1338	0.521429	D
1339	2.74286	D
1340	1.43571	D
1341	1.73571	D
1342	1.55714	D
1343	3.24286	D
1344	1.01429	D
1345	1.97143	D
1346	5.85714	D
1347	0.921429	D
1348	1.83571	D
1349	1.18571	D
1350	4.49286	D
1351	1.43571	D
1352	1.45	D
1353	1.04286	D
1354	2.3	D
1355	1.55714	D
1356	2.10714	D
1357	5.25	D
1358	6.4	D
1359	0.478571	D
1360	4.10714	D
1361	1.99286	D
1362	2.55	D
1363	4.37143	D
1364	3.8	D
1365	4.3	D
1366	2.36429	D
1367	2.25714	D
1368	6.37857	D
1369	1.35	D
1370	1.09286	D
1371	2.38571	D
1372	2.60714	D
1373	1.48571	D
1374	1.92143	D
1375	1.75	D
1376	2.40714	D
1377	1.72857	D
1378	6.92857	D
1379	2.70714	D
1380	2	D
1381	1.15714	D
1382	0.764286	D
1383	4.63571	D
1384	5.16429	D
1385	0.75	D
1386	2.25	D
1387	5.65714	D
1388	1	D
1389	4.86429	D
1390	3.36429	D
1391	6.87143	D
1392	2.96429	D
1393	6.70714	D
1394	1.05714	D
1395	0.314286	D
1396	2.02857	D
1397	2.81429	D
1398	0.992857	D
1399	5.83571	D
1400	2.64286	D
1401	1.95	D
1402	2.04286	D
1403	1.12143	D
1404	1.77143	D
1405	1.31429	D
1406	3.30714	D
1407	1.71429	D
1408	0.7	D
1409	2.25	D
1410	2.22143	D
1411	1.86429	D
1412	1.73571	D
1413	2.47143	D
1414	2.18571	D
1415	5.73571	D
1416	1.82857	D
1417	2.3	D
1418	1.27143	D
1419	3.17857	D
1420	2.17857	D
1421	2.46429	D
1422	1.46429	D
1423	2.48571	D
1424	2.19286	D
1425	3.2	D
1426	3.11429	D
1427	1.76429	D
1428	2.26429	D
1429	1.70714	D
1430	8.22143	D
1431	1.60714	D
1432	3.02857	D
1433	4.3	D
1434	2.23571	D
1435	2.76429	D
1436	1.82143	D
1437	5.36429	D
1438	6.05714	D
1439	2.10714	D
1440	1.51429	D
1441	3.83571	D
1442	3.01429	D
1443	5.31429	D
1444	2.44286	D
1445	3.39286	D
1446	1.12143	D
1447	0.492857	D
1448	3.5	D
1449	1.62857	D
1450	2.02857	D
1451	7.47143	D
1452	2.67857	D
1453	1.83571	D
1454	4.87857	D
1455	2.43571	D
1456	2.29286	D
1457	1.76429	D
1458	2.72143	D
1459	0.971429	D
1460	1.65	D
1461	4.1	D
1462	3.39286	D
1463	3.86429	D
1464	5.48571	D
1465	0.921429	D
1466	1.8	D
1467	1.56429	D
1468	1.43571	D
1469	3.59286	D
1470	2.64286	D
1471	2.30714	D
1472	3.48571	D
1473	1.67857	D
1474	2.18571	D
1475	1.62143	D
1476	1.18571	D
1477	0.921429	D
1478	5.83571	D
1479	5.42857	D
1480	1.17857	D
1481	1.39286	D
1482	0.521429	D
1483	0.828571	D
1484	0.8	D
1485	1.47857	D
1486	3.03571	D
1487	2.52857	D
1488	2.05	D
1489	1.66429	D
1490	1.35714	D
1491	1.86429	D
1492	1.35	D
1493	1.27143	D
1494	1.51429	D
1495	2.45	D
1496	2.96429	D
1497	1.17857	D
1498	0.307143	D
1499	0.878571	D
1500	1.98571	D
1501	0.957143	D
1502	2.31429	D
1503	2.32143	D
1504	2.71429	D
1505	5.15	D
1506	3.22857	D
1507	3.07857	D
1508	2.02857	D
1509	3.34286	D
1510	2.37143	D
1511	2.69286	D
1512	0.778571	D
1513	0.628571	D
1514	3.20714	D
1515	4.91429	D
1516	4.93571	D
1517	2.88571	D
1518	4.5	D
